1 1:13.280000 2:1.640000 3:2.840000 4:15.500000 5:110.000000 6:2.600000 7:2.680000 8:0.340000 9:1.360000 10:4.600000 11:1.090000 12:2.780000 13:880.000000
1 1:13.580000 2:1.660000 3:2.360000 4:19.100000 5:106.000000 6:2.860000 7:3.190000 8:0.220000 9:1.950000 10:6.900000 11:1.090000 12:2.880000 13:1515.000000
1 1:13.750000 2:1.730000 3:2.410000 4:16.000000 5:89.000000 6:2.600000 7:2.760000 8:0.290000 9:1.810000 10:5.600000 11:1.150000 12:2.900000 13:1320.000000
1 1:13.480000 2:1.810000 3:2.410000 4:20.500000 5:100.000000 6:2.700000 7:2.980000 8:0.260000 9:1.860000 10:5.100000 11:1.040000 12:3.470000 13:920.000000
1 1:14.060000 2:2.150000 3:2.610000 4:17.600000 5:121.000000 6:2.600000 7:2.510000 8:0.310000 9:1.250000 10:5.050000 11:1.060000 12:3.580000 13:1295.000000
1 1:13.630000 2:1.810000 3:2.700000 4:17.200000 5:112.000000 6:2.850000 7:2.910000 8:0.300000 9:1.460000 10:7.300000 11:1.280000 12:2.880000 13:1310.000000
1 1:14.100000 2:2.020000 3:2.400000 4:18.800000 5:103.000000 6:2.750000 7:2.920000 8:0.320000 9:2.380000 10:6.200000 11:1.070000 12:2.750000 13:1060.000000
1 1:13.860000 2:1.350000 3:2.270000 4:16.000000 5:98.000000 6:2.980000 7:3.150000 8:0.220000 9:1.850000 10:7.220000 11:1.010000 12:3.550000 13:1045.000000
1 1:14.190000 2:1.590000 3:2.480000 4:16.500000 5:108.000000 6:3.300000 7:3.930000 8:0.320000 9:1.860000 10:8.700000 11:1.230000 12:2.820000 13:1680.000000
1 1:13.820000 2:1.750000 3:2.420000 4:14.000000 5:111.000000 6:3.880000 7:3.740000 8:0.320000 9:1.870000 10:7.050000 11:1.010000 12:3.260000 13:1190.000000
1 1:12.850000 2:1.600000 3:2.520000 4:17.800000 5:95.000000 6:2.480000 7:2.370000 8:0.260000 9:1.460000 10:3.930000 11:1.090000 12:3.630000 13:1015.000000
1 1:13.500000 2:1.810000 3:2.610000 4:20.000000 5:96.000000 6:2.530000 7:2.610000 8:0.280000 9:1.660000 10:3.520000 11:1.120000 12:3.820000 13:845.000000
1 1:13.200000 2:1.780000 3:2.140000 4:11.200000 5:100.000000 6:2.650000 7:2.760000 8:0.260000 9:1.280000 10:4.380000 11:1.050000 12:3.400000 13:1050.000000
1 1:13.240000 2:2.590000 3:2.870000 4:21.000000 5:118.000000 6:2.800000 7:2.690000 8:0.390000 9:1.820000 10:4.320000 11:1.040000 12:2.930000 13:735.000000
1 1:14.220000 2:1.700000 3:2.300000 4:16.300000 5:118.000000 6:3.200000 7:3.000000 8:0.260000 9:2.030000 10:6.380000 11:0.940000 12:3.310000 13:970.000000
